drama_name,section_title,character_name,actor_name,content
바니와 오빠들,드라마 정보,윤바니,정소민(전직 아이돌 '윤바니' 역),"6. <바니와 오빠들> (MBC 금토드라마): 정소민(전직 아이돌 '윤바니' 역), 채종협(바니의 남동생 '윤성호' 역) 주연. 음악과 가족의 재회를 그린 따뜻한 코믹 휴먼 드라마. 4월 11일 첫 방송."
바니와 오빠들,드라마 정보,윤성호,채종협(바니의 남동생 '윤성호' 역),"6. <바니와 오빠들> (MBC 금토드라마): 정소민(전직 아이돌 '윤바니' 역), 채종협(바니의 남동생 '윤성호' 역) 주연. 음악과 가족의 재회를 그린 따뜻한 코믹 휴먼 드라마. 4월 11일 첫 방송."
언젠가는 슬기로울 전공의생활,드라마 정보,정수찬,이도현(레지던트 1년차 '정수찬' 역),"7. <언젠가는 슬기로울 전공의생활> (tvN): 이도현(레지던트 1년차 '정수찬' 역), 박주현(소아과 전공의 '서은채' 역) 주연. 전공의 시점의 휴먼 드라마. 4월 12일 첫 방송."
언젠가는 슬기로울 전공의생활,드라마 정보,정수찬,이도현(레지던트 1년차 '정수찬' 역),"7. <언젠가는 슬기로울 전공의생활> (tvN): 이도현(레지던트 1년차 '정수찬' 역), 박주현(소아과 전공의 '서은채' 역) 주연. 전공의 시점의 휴먼 드라마. 4월 12일 첫 방송."
언젠가는 슬기로울 전공의생활,드라마 정보,서은채,박주현(소아과 전공의 '서은채' 역),"7. <언젠가는 슬기로울 전공의생활> (tvN): 이도현(레지던트 1년차 '정수찬' 역), 박주현(소아과 전공의 '서은채' 역) 주연. 전공의 시점의 휴먼 드라마. 4월 12일 첫 방송."
천국보다 아름다운,드라마 정보,도진우,김남길(기억을 잃은 남자 '도진우' 역),"8. <천국보다 아름다운> (JTBC): 김남길(기억을 잃은 남자 '도진우' 역), 김지원(상처를 안고 살아가는 작가 '윤해라' 역) 주연. 과거의 상처를 마주한 감성 멜로극. 4월 19일 첫 방송."
천국보다 아름다운,드라마 정보,도진우,김남길(기억을 잃은 남자 '도진우' 역),"8. <천국보다 아름다운> (JTBC): 김남길(기억을 잃은 남자 '도진우' 역), 김지원(상처를 안고 살아가는 작가 '윤해라' 역) 주연. 과거의 상처를 마주한 감성 멜로극. 4월 19일 첫 방송."
천국보다 아름다운,드라마 정보,윤해라,김지원(상처를 안고 살아가는 작가 '윤해라' 역),"8. <천국보다 아름다운> (JTBC): 김남길(기억을 잃은 남자 '도진우' 역), 김지원(상처를 안고 살아가는 작가 '윤해라' 역) 주연. 과거의 상처를 마주한 감성 멜로극. 4월 19일 첫 방송."
끝까지 간다 2,영화 개봉 소식,고건수,이선균(형사 '고건수' 역),1. <끝까지 간다 2>: 이선균(형사 '고건수' 역) 주연. 전편의 강렬함을 이어가는 범죄 추적극. 4월 17일 개봉.
프랑켄슈타인 아버지,영화 개봉 소식,노진수,설경구(유전자 조작 과학자 '노진수' 역),"3. <프랑켄슈타인 아버지>: 설경구(유전자 조작 과학자 '노진수' 역), 이수경(딸이자 인공지능 연구자 '노하은' 역) 주연. 윤리적 질문을 던지는 철학적 미스터리 영화. 4월 2일 개봉."
프랑켄슈타인 아버지,영화 개봉 소식,노하은,이수경(딸이자 인공지능 연구자 '노하은' 역),"3. <프랑켄슈타인 아버지>: 설경구(유전자 조작 과학자 '노진수' 역), 이수경(딸이자 인공지능 연구자 '노하은' 역) 주연. 윤리적 질문을 던지는 철학적 미스터리 영화. 4월 2일 개봉."
남으로 가는 길,영화 개봉 소식,최강일,이제훈(탈북 청년 '최강일' 역),"4. <남으로 가는 길>: 이제훈(탈북 청년 '최강일' 역), 김향기(사회복지사 '한지윤' 역) 주연. 이산가족과 통일의 현실을 다룬 감성 드라마. 4월 2일 개봉."
남으로 가는 길,영화 개봉 소식,한지윤,김향기(사회복지사 '한지윤' 역),"4. <남으로 가는 길>: 이제훈(탈북 청년 '최강일' 역), 김향기(사회복지사 '한지윤' 역) 주연. 이산가족과 통일의 현실을 다룬 감성 드라마. 4월 2일 개봉."
바이러스,영화 개봉 소식,이하늘,배두나(감염병 전문가 '이하늘' 역),"5. <바이러스>: 배두나(감염병 전문가 '이하늘' 역), 김윤석(정부 고위층 '장진태' 역), 손석구(생존자 '최성우' 역) 주연. 팬데믹 이후 세상을 배경으로 한 SF 재난영화. 5월 7일 개봉."
바이러스,영화 개봉 소식,장진태,김윤석(정부 고위층 '장진태' 역),"5. <바이러스>: 배두나(감염병 전문가 '이하늘' 역), 김윤석(정부 고위층 '장진태' 역), 손석구(생존자 '최성우' 역) 주연. 팬데믹 이후 세상을 배경으로 한 SF 재난영화. 5월 7일 개봉."
바이러스,영화 개봉 소식,최성우,손석구(생존자 '최성우' 역),"5. <바이러스>: 배두나(감염병 전문가 '이하늘' 역), 김윤석(정부 고위층 '장진태' 역), 손석구(생존자 '최성우' 역) 주연. 팬데믹 이후 세상을 배경으로 한 SF 재난영화. 5월 7일 개봉."
대홍수,영화 개봉 소식,정우민,하정우(소방관 아버지 '정우민' 역),"6. <대홍수>: 하정우(소방관 아버지 '정우민' 역), 문채원(기후 과학자 '이나영' 역) 주연. 한국형 재난 영화로, 극단적 기후변화와 가족 생존기를 그린 작품. 2025 하반기 개봉."
대홍수,영화 개봉 소식,이나영,문채원(기후 과학자 '이나영' 역),"6. <대홍수>: 하정우(소방관 아버지 '정우민' 역), 문채원(기후 과학자 '이나영' 역) 주연. 한국형 재난 영화로, 극단적 기후변화와 가족 생존기를 그린 작품. 2025 하반기 개봉."
감자연구소,드라마 정보,김수현,이선빈(감자 전문가 '김수현' 역),tvN 새 주말드라마 <감자연구소>가 2025년 3월 방영 예정입니다.
귀궁,드라마 정보,윤갑,육성재,SBS 판타지 로맨스 드라마 <귀궁>이 2025년 4월 18일 첫 방송됩니다.
귀궁,드라마 정보,여리,김지연,SBS 판타지 로맨스 드라마 <귀궁>이 2025년 4월 18일 첫 방송됩니다.
귀궁,드라마 정보,이성 왕,김지훈,SBS 판타지 로맨스 드라마 <귀궁>이 2025년 4월 18일 첫 방송됩니다.
트라이: 우리는 기적이 된다,드라마 정보,이재훈,박서준(럭비팀 주장 '이재훈' 역),SBS 금토드라마 <트라이: 우리는 기적이 된다>가 2025년 7월 25일 방영 예정입니다.
화려한 날들,드라마 정보,장미,수지(운명적 만남을 기다리는 '장미' 역),KBS2 주말드라마 <화려한 날들>이 2025년 7월 26일 방영 예정입니다.
마이 유스,드라마 정보,한서연,김태리(출판 편집자 '한서연' 역),JTBC 토일드라마 <마이 유스>가 2025년 7월 26일 방영 예정입니다.
트웰브,드라마 정보,최도윤,이도현(열두번째 생일의 기억을 가진 '최도윤' 역),KBS2 토일드라마 <트웰브>가 2025년 8월 방영 예정입니다.
침범,영화 개봉 소식,김지훈,류준열(침입자 '김지훈' 역),영화 <침범>이 2025년 3월 12일 개봉 예정입니다.
계시록,영화 개봉 소식,정형사,조승우(초자연 현상을 추적하는 '정형사' 역),연상호 감독의 영화 <계시록>이 2025년 3월 21일 개봉 예정입니다.
스트리밍,영화 개봉 소식,서진호,강하늘(비밀스러운 플랫폼 개발자 '서진호' 역),강하늘 주연의 영화 <스트리밍>이 2025년 3월 개봉 예정입니다.
로비,영화 개봉 소식,정훈,하정우(호텔 로비 매니저 '정훈' 역),하정우 주연의 영화 <로비>가 2025년 4월 2일 개봉 예정입니다.
파란,영화 개봉 소식,이도현,이수혁(푸른 기억을 가진 남자 '이도현' 역),"이수혁, 하윤경 주연의 영화 <파란>이 2025년 4월 개봉 예정입니다."
야당,영화 개봉 소식,박영민,강하늘(사회운동가 '박영민' 역),"강하늘, 유해진 주연의 영화 <야당>이 2025년 4월 16일 개봉 예정입니다."
거룩한 밤: 데몬 헌터스,영화 개봉 소식,장도헌,마동석(악령 사냥꾼 '장도헌' 역),"마동석, 서현 주연의 영화 <거룩한 밤: 데몬 헌터스>가 2025년 4월 30일 개봉 예정입니다."
파과,영화 개봉 소식,윤서진,이혜영(범죄심리학자 '윤서진' 역),"이혜영, 김성철 주연의 영화 <파과>가 2025년 5월 1일 개봉 예정입니다."
바이러스,영화 개봉 소식,백도진,김윤석(감염병 전문가 '백도진' 역),"배두나, 김윤석 주연의 영화 <바이러스>가 2025년 5월 7일 개봉 예정입니다."
하이파이브,영화 개봉 소식,강우,유아인(초능력 소년단 리더 '강우' 역),"유아인, 라미란 주연의 영화 <하이파이브>가 2025년 6월 개봉 예정입니다."
전지적 독자 시점,영화 개봉 소식,김독자,이민호(생존 게임 주인공 '김독자' 역),"이민호, 안효섭 주연의 영화 <전지적 독자 시점>이 2025년 7월 개봉 예정입니다."
